City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
162,arraial do cabo,-22.9661,-42.0278,296.4,87,95,8.89,BR,1700718144
163,ivins,37.1686,-113.6794,279.79,37,37,1.71,US,1700718144
164,casas grandes,30.3667,-107.95,279.0,33,0,1.74,MX,1700718144
165,enewetak,11.3474,162.3373,301.21,68,9,7.23,MH,1700718144
166,mont-tremblant,46.1949,-74.6264,273.48,100,97,0.51,CA,1700717978
167,outokumpu,62.7269,29.0159,269.09,95,100,6.52,FI,1700718144
168,quelimane,-17.8786,36.8883,301.12,89,20,5.14,MZ,1700718144
169,pacific grove,36.6177,-121.9166,289.07,58,0,2.06,US,1700718144
170,divnomorskoye,44.5011,38.1353,276.58,96,98,4.38,RU,1700718144
171,port saint john's,-31.6229,29.5448,297.11,79,15,2.42,ZA,1700718144
172,henderson,36.0397,-114.9819,286.06,35,0,4.12,US,1700718145
173,altamira,-3.2033,-52.2064,296.87,94,94,1.83,BR,1700718145
174,cidreira,-30.1811,-50.2056,292.63,90,100,4.79,BR,1700718145
175,imperatriz,-5.5264,-47.4917,296.18,100,100,1.03,BR,1700718145
176,mairinque,-23.5458,-47.1833,297.1,96,90,1.23,BR,1700718145
177,college,64.8569,-147.8028,259.33,80,75,0.0,US,1700718145
178,kill devil hills,36.0307,-75.676,284.81,78,100,3.6,US,1700718145
179,bubaque,11.2833,-15.8333,301.03,67,97,0.73,GW,1700718145
180,sopela,43.3789,-2.9831,282.49,84,20,1.03,ES,1700718145
181,hassi messaoud,31.6804,6.0729,282.07,61,0,2.06,DZ,1700718145
182,carnarvon,-24.8667,113.6333,299.02,65,30,7.19,AU,1700718146
183,khorixas,-20.3667,14.9667,298.71,24,68,1.99,NA,1700718146
184,qarazhal,48.0078,70.7903,276.44,66,72,10.7,KZ,1700718146
185,at taj,24.2049,23.2857,289.93,31,6,1.21,LY,1700718146
186,ketchikan,55.3422,-131.6461,281.14,81,100,5.66,US,1700718146
187,jardim,-21.4803,-56.1381,297.01,89,88,2.27,BR,1700718146
188,kirkwall,58.9848,-2.9587,281.46,81,75,15.43,GB,1700717927
189,verkhniy tagil,57.3733,59.9556,268.7,96,100,0.65,RU,1700718146
190,sulak,43.2734,47.5146,283.78,82,69,7.25,RU,1700718146
191,golfito,8.639,-83.166,297.13,95,98,1.05,CR,1700718146
192,constantia,44.1833,28.65,275.76,73,63,4.28,RO,1700718146
193,amga,60.8953,131.9608,247.56,94,100,2.0,RU,1700718147
194,vadso,70.0744,29.7487,266.24,79,100,7.2,NO,1700718147
195,nogent-sur-seine,48.4167,3.75,278.88,82,93,2.37,FR,1700718147
196,vilyuchinsk,52.9306,158.4028,272.3,77,27,3.88,RU,1700718147
197,povoa de santa iria,38.861,-9.0645,285.66,64,0,4.12,PT,1700718147
198,lubumbashi,-11.6609,27.4794,294.44,81,100,2.43,CD,1700718070
199,pierre,44.3683,-100.351,274.66,60,0,5.14,US,1700718147
200,bandar lampung,-5.4254,105.258,302.67,71,96,1.94,ID,1700718147
201,papatowai,-46.5619,169.4708,283.25,69,52,9.24,NZ,1700718147
202,qusmuryn,52.4503,64.6311,270.28,92,100,11.06,KZ,1700718147
203,meadow lake,34.8014,-106.5436,280.05,50,38,1.0,US,1700718148
204,sao miguel do araguaia,-13.275,-50.1628,295.74,84,99,0.16,BR,1700718148
205,payakumbuh,-0.2202,100.6308,300.05,82,100,0.55,ID,1700718148
206,norilsk,69.3535,88.2027,246.24,99,80,2.77,RU,1700718117
207,linxi,39.7,118.4333,275.43,18,54,8.66,CN,1700718148
208,saint-philippe,-21.3585,55.7679,299.92,67,100,3.59,RE,1700717942
209,bikin,46.8161,134.26,266.93,93,100,4.43,RU,1700718148
210,kasongo-lunda,-6.4667,16.8167,294.97,99,100,0.67,CD,1700718148
211,tsiombe,-25.3,45.4833,306.68,28,24,4.88,MG,1700718148
212,dembi dolo,8.5333,34.8,292.36,76,11,1.24,ET,1700718149
213,yakymivka,46.6897,35.1536,270.36,64,43,4.42,UA,1700718149
214,polyarnyy,69.1989,33.4478,266.12,83,100,9.32,RU,1700718149
215,alice springs,-23.7,133.8833,305.9,16,23,2.57,AU,1700718149
216,yuzhno-sukhokumsk,44.6581,45.6436,274.45,98,100,2.79,RU,1700718149
217,happy valley-goose bay,53.3168,-60.3315,271.32,80,100,3.6,CA,1700718149
218,serdar,38.9764,56.2757,288.09,28,7,5.94,TM,1700718149
219,kanggye,40.9695,126.5852,273.56,72,95,2.25,KP,1700718149
220,mabai,23.0128,104.4508,289.81,71,66,1.79,CN,1700718149
221,okhotsk,59.3833,143.3,257.76,95,100,4.61,RU,1700718149
222,saint-yrieix-la-perche,45.516,1.2057,277.57,87,71,3.48,FR,1700718149
223,yoichi,43.2039,140.7703,287.59,72,16,7.35,JP,1700718150
224,colima,19.1667,-104.0,290.62,94,100,1.47,MX,1700718150
225,beruniy,41.6911,60.7525,281.13,76,0,4.12,UZ,1700718150
226,utrik,11.2278,169.8474,300.98,73,16,7.98,MH,1700718150
227,port alfred,-33.5906,26.891,296.03,65,1,1.79,ZA,1700718150
228,fatezh,52.0891,35.8632,267.03,84,47,3.41,RU,1700718150
229,savannakhet,16.566,104.751,303.16,48,40,3.09,LA,1700718150
230,taiyuan,37.8694,112.5603,274.07,8,0,8.0,CN,1700718150
231,kuala tungkal,-0.8167,103.4667,300.59,88,99,2.18,ID,1700718150
232,sulphur springs,33.1385,-95.6011,277.71,75,0,0.0,US,1700718130
233,tucuma,-0.1833,-50.05,298.8,82,78,3.26,BR,1700718151
234,el gouna,27.3942,33.6782,291.2,48,58,4.18,EG,1700718151
235,georgetown,5.4112,100.3354,302.12,74,20,2.57,MY,1700718151
236,haparanda,65.8355,24.1368,269.18,97,100,2.03,SE,1700718151
237,isafjordur,66.0755,-23.124,269.36,89,76,0.48,IS,1700718151
238,zilair,52.2332,57.4392,265.28,86,100,7.41,RU,1700718151
239,howard springs,-12.497,131.047,307.03,69,85,2.78,AU,1700718151
240,bandon,51.7469,-8.7425,282.92,92,9,1.98,IE,1700718151
241,talcahuano,-36.7167,-73.1167,283.97,82,0,3.6,CL,1700718151
242,biala podlaska,52.0324,23.1165,270.04,75,100,8.09,PL,1700718113
243,donduseni,48.2427,27.6101,269.94,58,100,2.46,MD,1700718152
244,afaahiti,-17.75,-149.2833,299.08,87,98,10.79,PF,1700718152
245,sisimiut,66.9395,-53.6735,268.0,68,100,6.95,GL,1700718152
